"City","Long","Lat","year","month","pr","tmax","tmin"
"Orlando",-81.3789,28.5384,"2008","01",129.768997192383,21.5380001068115,10.5579996109009
"Orlando",-81.3789,28.5384,"2008","02",61.4220008850098,24.798999786377,12.7440004348755
"Orlando",-81.3789,28.5384,"2008","03",80.4440002441406,24.9029998779297,13.9589996337891
"Orlando",-81.3789,28.5384,"2008","04",103.043998718262,27.5699996948242,16.7569999694824
"Orlando",-81.3789,28.5384,"2008","05",46.359001159668,31.1989994049072,20.492000579834
"Orlando",-81.3789,28.5384,"2008","06",188.975006103516,33.3849983215332,22.511999130249
"Orlando",-81.3789,28.5384,"2008","07",217.457000732422,32.4959983825684,23.3689994812012
"Orlando",-81.3789,28.5384,"2008","08",362.101989746094,31.8490009307861,23.7779998779297
"Orlando",-81.3789,28.5384,"2008","09",137.873992919922,31.7469997406006,23.05299949646
"Orlando",-81.3789,28.5384,"2008","10",112.859001159668,27.9890003204346,18.2280006408691
"Orlando",-81.3789,28.5384,"2008","11",8.37899971008301,23.2759990692139,12.0100002288818
"Orlando",-81.3789,28.5384,"2008","12",35.7029991149902,23.5230007171631,12.0139999389648
"StateCollege",-77.86,40.7934,"2008","01",42.5870018005371,2.53099989891052,-5.07800006866455
"StateCollege",-77.86,40.7934,"2008","02",103.366996765137,1.79299998283386,-7.24300003051758
"StateCollege",-77.86,40.7934,"2008","03",146.843994140625,6.81799983978271,-3.26500010490417
"StateCollege",-77.86,40.7934,"2008","04",110.653999328613,17.2849998474121,5.36399984359741
"StateCollege",-77.86,40.7934,"2008","05",108.208999633789,18.9179992675781,6.57399988174438
"StateCollege",-77.86,40.7934,"2008","06",103.101997375488,27.0370006561279,15.5729999542236
"StateCollege",-77.86,40.7934,"2008","07",72.0370025634766,27.9869995117188,16.4899997711182
"StateCollege",-77.86,40.7934,"2008","08",44.0709991455078,26.2660007476807,14.0729999542236
"StateCollege",-77.86,40.7934,"2008","09",128.470001220703,23.5830001831055,11.7690000534058
"StateCollege",-77.86,40.7934,"2008","10",46.9939994812012,15.4499998092651,3.98699998855591
"StateCollege",-77.86,40.7934,"2008","11",39.4700012207031,7.93800020217896,0.474000006914139
"StateCollege",-77.86,40.7934,"2008","12",129.811004638672,3.49399995803833,-4.7350001335144
"Burlington",-73.2121,44.4759,"2008","01",41.0880012512207,0.326999992132187,-8.61200046539307
"Burlington",-73.2121,44.4759,"2008","02",97.7289962768555,-0.518999993801117,-9.66800022125244
"Burlington",-73.2121,44.4759,"2008","03",96.5910034179688,2.29900002479553,-7.44500017166138
"Burlington",-73.2121,44.4759,"2008","04",55.7459983825684,15.5430002212524,3.29399991035461
"Burlington",-73.2121,44.4759,"2008","05",35.4259986877441,18.2770004272461,5.84600019454956
"Burlington",-73.2121,44.4759,"2008","06",126.426002502441,25.0610008239746,14.4670000076294
"Burlington",-73.2121,44.4759,"2008","07",171.908004760742,26.8600006103516,16.5879993438721
"Burlington",-73.2121,44.4759,"2008","08",89.4309997558594,25.1669998168945,14.5089998245239
